,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,LABEL
0,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
1,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
2,"(0.1371707171201706, 0.013120810501277447, -4.267343683750369e-06)","(0.15791192650794983, 0.013177819550037384, -0.004847548436373472)","(0.1753143072128296, 0.016918351873755455, -0.01667201891541481)","(0.18868574500083923, 0.014046475291252136, -0.028843887150287628)","(0.1945243775844574, 0.010112306103110313, -0.038171395659446716)","(0.17018118500709534, 0.045615606009960175, -0.026256710290908813)","(0.1854071468114853, 0.0503852441906929, -0.04249584302306175)","(0.19118431210517883, 0.044249504804611206, -0.055256474763154984)","(0.19243501126766205, 0.03817170858383179, -0.06221795827150345)","(0.15768256783485413, 0.04460129886865616, -0.03290100023150444)","(0.17277230322360992, 0.0467989519238472, -0.057613201439380646)","(0.17783355712890625, 0.038767918944358826, -0.07205046713352203)","(0.17754201591014862, 0.03307001292705536, -0.07924114167690277)","(0.1449783742427826, 0.03523416817188263, -0.03942978382110596)","(0.15877875685691833, 0.03383559733629227, -0.05521312728524208)","(0.1627219170331955, 0.026135893538594246, -0.0569564551115036)","(0.16107697784900665, 0.02135550230741501, -0.056631360203027725)","(0.13349221646785736, 0.022203905507922173, -0.046667590737342834)","(0.14224347472190857, 0.017602939158678055, -0.054532356560230255)","(0.14315293729305267, 0.0077657680958509445, -0.05591414496302605)","(0.14127647876739502, 0.0013700276613235474, -0.05428418889641762)",Negative
3,"(0.14597764611244202, 0.009927907958626747, -1.4369516065926291e-05)","(0.15299974381923676, 0.040225617587566376, -0.013970617204904556)","(0.1635502576828003, 0.055450230836868286, -0.01694594882428646)","(0.17614470422267914, 0.05536976829171181, -0.017143558710813522)","(0.18799501657485962, 0.04843930900096893, -0.019378164783120155)","(0.1671862006187439, 0.05615094676613808, -0.004932568874210119)","(0.17942708730697632, 0.06346361339092255, -0.008330621756613255)","(0.18830500543117523, 0.0626162439584732, -0.01554916426539421)","(0.19589892029762268, 0.05903075635433197, -0.02239619381725788)","(0.16956181824207306, 0.04043760895729065, 0.0008111422648653388)","(0.18335460126399994, 0.04247118905186653, -0.0076078991405665874)","(0.19112397730350494, 0.0360109806060791, -0.021883079782128334)","(0.19480250775814056, 0.027163825929164886, -0.03165241330862045)","(0.17085787653923035, 0.025575105100870132, 0.0052873920649290085)","(0.18568682670593262, 0.02581881918013096, -0.004115133546292782)","(0.19114094972610474, 0.020439764484763145, -0.01871572434902191)","(0.1915946900844574, 0.01463080383837223, -0.027100756764411926)","(0.17143753170967102, 0.012560635805130005, 0.009716545231640339)","(0.18398040533065796, 0.01139759086072445, 0.0010608776938170195)","(0.18959099054336548, 0.008532416075468063, -0.009077976457774639)","(0.1909027397632599, 0.005401946604251862, -0.0157285388559103)",Negative
4,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
5,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
6,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
7,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
8,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
9,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)",Negative
